CMDLINE c:\users\a_izadeh\anaconda3\python.exe CloudClustering.py
MEM 0.707031 1555353232.8893
MEM 11.609375 1555353232.9894
MEM 19.710938 1555353233.0903
MEM 26.664062 1555353233.1913
MEM 31.996094 1555353233.2915
MEM 37.949219 1555353233.4070
MEM 45.121094 1555353233.5073
MEM 49.355469 1555353233.6087
MEM 49.355469 1555353233.7090
MEM 49.355469 1555353233.8099
MEM 49.355469 1555353233.9108
MEM 49.355469 1555353234.0118
MEM 49.355469 1555353234.1127
MEM 49.355469 1555353234.2128
MEM 49.355469 1555353234.3256
MEM 49.355469 1555353234.4261
MEM 49.355469 1555353234.5271
MEM 49.355469 1555353234.6280
MEM 49.355469 1555353234.7290
MEM 49.355469 1555353234.8299
MEM 49.355469 1555353234.9309
MEM 49.355469 1555353235.0310
MEM 49.355469 1555353235.1314
MEM 49.355469 1555353235.2314
MEM 49.355469 1555353235.3324
MEM 49.355469 1555353235.4425
MEM 49.355469 1555353235.5519
MEM 49.355469 1555353235.6574
MEM 49.355469 1555353235.7668
MEM 49.355469 1555353235.8762
MEM 49.355469 1555353235.9855
MEM 49.355469 1555353236.0949
MEM 49.355469 1555353236.2043
MEM 49.355469 1555353236.3136
MEM 49.355469 1555353236.4230
MEM 49.355469 1555353236.5324
MEM 49.355469 1555353236.6418
MEM 49.355469 1555353236.7511
MEM 49.355469 1555353236.8605
MEM 49.355469 1555353236.9714
MEM 49.355469 1555353237.0807
MEM 49.355469 1555353237.1901
MEM 49.355469 1555353237.2995
MEM 49.355469 1555353237.4067
MEM 49.355469 1555353237.5160
MEM 49.355469 1555353237.6254
MEM 49.355469 1555353237.7348
MEM 49.355469 1555353237.8441
MEM 49.355469 1555353237.9467
MEM 49.355469 1555353238.0561
MEM 49.355469 1555353238.1655
MEM 49.355469 1555353238.2748
MEM 49.355469 1555353238.3842
MEM 49.355469 1555353238.4878
MEM 49.355469 1555353238.5972
MEM 49.355469 1555353238.7065
MEM 49.355469 1555353238.8159
MEM 49.355469 1555353238.9253
MEM 49.355469 1555353239.0346
MEM 49.355469 1555353239.1440
MEM 49.355469 1555353239.2534
MEM 49.355469 1555353239.3627
MEM 49.355469 1555353239.4721
MEM 49.355469 1555353239.5815
MEM 49.355469 1555353239.6908
MEM 49.355469 1555353239.8002
MEM 49.355469 1555353239.9108
MEM 49.355469 1555353240.0202
MEM 49.355469 1555353240.1296
MEM 49.355469 1555353240.2389
MEM 49.761719 1555353240.3483
MEM 49.761719 1555353240.4577
MEM 49.761719 1555353240.5670
MEM 49.761719 1555353240.6764
MEM 49.761719 1555353240.7858
MEM 49.761719 1555353240.8952
MEM 49.761719 1555353241.0045
MEM 49.761719 1555353241.1139
MEM 49.761719 1555353241.2146
MEM 49.761719 1555353241.3156
MEM 49.761719 1555353241.4283
MEM 50.304688 1555353241.5377
MEM 50.304688 1555353241.6472
MEM 50.304688 1555353241.7564
MEM 50.304688 1555353241.8658
MEM 50.304688 1555353241.9765
MEM 50.304688 1555353242.0859
MEM 50.308594 1555353242.1953
MEM 50.308594 1555353242.3046
MEM 50.308594 1555353242.4140
MEM 50.308594 1555353242.5234
MEM 50.308594 1555353242.6327
MEM 50.574219 1555353242.7421
